name,kind
Harvard-Westlake School,independent
Newport-Mesa Unified School District,school district
Oaks Christian School,independent
Society of Jesus,independent
Diocese of Orange,independent
Laguna Beach Unified School District,school district
Capistrano Unified School District,school district
Tustin Unified School District,school district
Manhattan Beach Unified School District,school district
United Water Polo Club,water polo club
Vanguard Aquatics,water polo club
Los Angeles Premier Water Polo Club,water polo club
Orange County Water Polo Club,water polo club
Trojan Water Polo Club,water polo club
Newport Beach Water Polo Club,water polo club
Del Mar Water Polo Club,water polo club
Renegades Water Polo Club,water polo club
San Diego Shores Water Polo Club,water polo club
Vanguard Aquatics,water polo club
