name_team,name_tournament,place
Harvard-Westlake School,2019 CIFSS Playoffs Top 10,1
Newport Harbor High School,2019 CIFSS Playoffs Top 10,2
Loyola High School of Los Angeles,2019 CIFSS Playoffs Top 10,4
Oaks Christian School,2019 CIFSS Playoffs Top 10,3
Santa Margarita Catholic High School,2019 CIFSS Playoffs Top 10,5
Mater Dei High School,2019 CIFSS Playoffs Top 10,6
Laguna Beach High School,2019 CIFSS Playoffs Top 10,7
San Clemente High School,2019 CIFSS Playoffs Top 10,8
Foothill High School,2019 CIFSS Playoffs Top 10,9
Mira Costa High School,2019 CIFSS Playoffs Top 10,10
Murrieta Valley High School,2018-19 Riverside County Pre-season,1
Riverside Polytechnic High School,2018-19 Riverside County Pre-season,2
La Quinta High School,2018-19 Riverside County Pre-season,3
Vista Murrieta High School,2018-19 Riverside County Pre-season,4
Santiago High School,2018-19 Riverside County Pre-season,5
Corona High School,2018-19 Riverside County Pre-season,6
Temescal Canyon High School,2018-19 Riverside County Pre-season,7
Arlington High School,2018-19 Riverside County Pre-season,8
Murrieta Mesa High School,2018-19 Riverside County Pre-season,9
Chaparral High School,2018-19 Riverside County Pre-season,10
Redlands East Valley High School,2018-19 San Bernardino County Pre-season,1
Ruben S. Ayala High School,2018-19 San Bernardino County Pre-season,2
Los Osos High School,2018-19 San Bernardino County Pre-season,3
Chino Hills High School,2018-19 San Bernardino County Pre-season,4
Yucaipa High School,2018-19 San Bernardino County Pre-season,5
Alta Loma High School,2018-19 San Bernardino County Pre-season,6
Don Antonio Lugo High School,2018-19 San Bernardino County Pre-season,7
Rancho Cucamonga High School,2018-19 San Bernardino County Pre-season,8
Upland High School,2018-19 San Bernardino County Pre-season,9
Chino High School,2018-19 San Bernardino County Pre-season,10
Redlands East Valley High School,2018-19 Inland Empire Pre-season,1
Murrieta Valley High School,2018-19 Inland Empire Pre-season,2
Riverside Polytechnic High School,2018-19 Inland Empire Pre-season,3
Ruben S. Ayala High School,2018-19 Inland Empire Pre-season,4
Los Osos High School,2018-19 Inland Empire Pre-season,5
La Quinta High School,2018-19 Inland Empire Pre-season,6
Vista Murrieta High School,2018-19 Inland Empire Pre-season,7
Chino Hills High School,2018-19 Inland Empire Pre-season,8
Santiago High School,2018-19 Inland Empire Pre-season,9
Corona High School,2018-19 Inland Empire Pre-season,10
