name,name_state,kind,name_county,population,area,density
Adelanto,California,City,San Bernardino,"31,765",56.01,567
Agoura Hills,California,City,Los Angeles,"20,330",7.79,"2,610"
Alameda,California,City,Alameda,"73,812",10.61,"6,957"
Albany,California,City,Alameda,"18,539",1.79,"10,357"
Alhambra,California,City,Los Angeles,"83,089",7.63,"10,890"
Aliso Viejo,California,City,Orange,"47,823",7.47,"6,402"
Alturas,California,City,Modoc,"2,827",2.43,"1,163"
Amador City,California,City,Amador,185,0.31,597
American Canyon,California,City,Napa,"19,454",4.84,"4,019"
Anaheim,California,City,Orange,"336,265",49.84,"6,747"
Anderson,California,City,Shasta,"9,932",6.37,"1,559"
Angels Camp,California,City,Calaveras,"3,836",3.63,"1,057"
Antioch,California,City,Contra Costa,"102,372",28.35,"3,611"
Apple Valley,California,Town,San Bernardino,"69,135",73.19,945
Arcadia,California,City,Los Angeles,"56,364",10.93,"5,157"
Arcata,California,City,Humboldt,"17,231",9.1,"1,894"
Arroyo Grande,California,City,San Luis Obispo,"17,252",5.84,"2,954"
Artesia,California,City,Los Angeles,"16,522",1.62,"10,199"
Arvin,California,City,Kern,"19,304",4.82,"4,005"
Atascadero,California,City,San Luis Obispo,"28,310",25.64,"1,104"
Atherton,California,Town,San Mateo,"6,914",5.02,"1,377"
Atwater,California,City,Merced,"28,168",6.09,"4,625"
Auburn,California,City,Placer,"13,330",7.14,"1,867"
Avalon,California,City,Los Angeles,"3,728",2.94,"1,268"
Avenal,California,City,Kings,"15,505",19.42,798
Azusa,California,City,Los Angeles,"46,361",9.66,"4,799"
Bakersfield,California,City,Kern,"347,483",142.16,"2,444"
Baldwin Park,California,City,Los Angeles,"75,390",6.63,"11,371"
Banning,California,City,Riverside,"29,603",23.1,"1,282"
Barstow,California,City,San Bernardino,"22,639",41.38,547
Beaumont,California,City,Riverside,"36,877",30.91,"1,193"
Bell,California,City,Los Angeles,"35,477",2.5,"14,191"
Bell Gardens,California,City,Los Angeles,"42,072",2.46,"17,102"
Bellflower,California,City,Los Angeles,"76,616",6.12,"12,519"
Belmont,California,City,San Mateo,"25,835",4.62,"5,592"
Belvedere,California,City,Marin,"2,068",0.52,"3,977"
Benicia,California,City,Solano,"26,997",12.93,"2,088"
Berkeley,California,City,Alameda,"112,580",10.47,"10,753"
Beverly Hills,California,City,Los Angeles,"34,109",5.71,"5,974"
Big Bear Lake,California,City,San Bernardino,"5,019",6.35,790
Biggs,California,City,Butte,"1,707",0.64,"2,667"
Bishop,California,City,Inyo,"3,879",1.86,"2,085"
Blue Lake,California,City,Humboldt,"1,253",0.59,"2,124"
Blythe,California,City,Riverside,"20,817",26.19,795
Bradbury,California,City,Los Angeles,"1,048",1.96,535
Brawley,California,City,Imperial,"24,953",7.68,"3,249"
Brea,California,City,Orange,"39,282",12.08,"3,252"
Brentwood,California,City,Contra Costa,"51,481",14.79,"3,481"
Brisbane,California,City,San Mateo,"4,282",3.1,"1,381"
Buellton,California,City,Santa Barbara,"4,828",1.58,"3,056"
Buena Park,California,City,Orange,"80,530",10.52,"7,655"
Burbank,California,City,Los Angeles,"103,340",17.34,"5,960"
Burlingame,California,City,San Mateo,"28,806",4.41,"6,532"
Calabasas,California,City,Los Angeles,"23,058",12.9,"1,787"
Calexico,California,City,Imperial,"38,572",8.39,"4,597"
California City,California,City,Kern,"14,120",203.52,69
Calimesa,California,City,Riverside,"7,879",14.85,531
Calipatria,California,City,Imperial,"7,705",3.72,"2,071"
Calistoga,California,City,Napa,"5,155",2.6,"1,983"
Camarillo,California,City,Ventura,"65,201",19.53,"3,339"
Campbell,California,City,Santa Clara,"39,349",5.8,"6,784"
Canyon Lake,California,City,Riverside,"10,561",3.93,"2,687"
Capitola,California,City,Santa Cruz,"9,918",1.59,"6,238"
Carlsbad,California,City,San Diego,"105,328",37.72,"2,792"
Carmel-by-the-Sea,California,City,Monterey,"3,722",1.08,"3,446"
Carpinteria,California,City,Santa Barbara,"13,040",2.59,"5,035"
Carson,California,City,Los Angeles,"91,714",18.72,"4,899"
Cathedral City,California,City,Riverside,"51,200",21.5,"2,381"
Ceres,California,City,Stanislaus,"45,417",8.01,"5,670"
Cerritos,California,City,Los Angeles,"49,041",8.73,"5,618"
Chico,California,City,Butte,"86,187",32.92,"2,618"
Chino,California,City,San Bernardino,"77,983",29.64,"2,631"
Chino Hills,California,City,San Bernardino,"74,799",44.68,"1,674"
Chowchilla,California,City,Madera,"18,720",7.66,"2,444"
Chula Vista,California,City,San Diego,"243,916",49.63,"4,915"
Citrus Heights,California,City,Sacramento,"83,301",14.23,"5,854"
Claremont,California,City,Los Angeles,"34,926",13.35,"2,616"
Clayton,California,City,Contra Costa,"10,897",3.84,"2,838"
Clearlake,California,City,Lake,"15,250",10.13,"1,505"
Cloverdale,California,City,Sonoma,"8,618",2.65,"3,252"
Clovis,California,City,Fresno,"95,631",23.28,"4,108"
Coachella,California,City,Riverside,"40,704",28.95,"1,406"
Coalinga,California,City,Fresno,"13,380",6.12,"2,186"
Colfax,California,City,Placer,"1,963",1.41,"1,392"
Colma,California,Town,San Mateo,"1,792",1.91,938
Colton,California,City,San Bernardino,"52,154",15.32,"3,404"
Colusa,California,City,Colusa,"5,971",1.83,"3,263"
Commerce,California,City,Los Angeles,"12,823",6.54,"1,961"
Compton,California,City,Los Angeles,"96,455",10.01,"9,636"
Concord,California,City,Contra Costa,"122,067",30.55,"3,996"
Corcoran,California,City,Kings,"24,813",7.47,"3,322"
Corning,California,City,Tehama,"7,663",3.55,"2,159"
Corona,California,City,Riverside,"152,374",38.83,"3,924"
Coronado,California,City,San Diego,"24,697",7.93,"3,114"
Corte Madera,California,Town,Marin,"9,253",3.16,"2,928"
Costa Mesa,California,City,Orange,"109,960",15.65,"7,026"
Cotati,California,City,Sonoma,"7,265",1.88,"3,864"
Covina,California,City,Los Angeles,"47,796",7.03,"6,799"
Crescent City,California,City,Del Norte,"7,643",1.96,"3,899"
Cudahy,California,City,Los Angeles,"23,805",1.18,"20,174"
Culver City,California,City,Los Angeles,"38,883",5.11,"7,609"
Cupertino,California,City,Santa Clara,"58,302",11.26,"5,178"
Cypress,California,City,Orange,"47,802",6.58,"7,265"
Daly City,California,City,San Mateo,"101,123",7.66,"13,201"
Dana Point,California,City,Orange,"33,351",6.5,"5,131"
Danville,California,Town,Contra Costa,"42,039",18.03,"2,332"
Davis,California,City,Yolo,"65,622",9.89,"6,635"
Del Mar,California,City,San Diego,"4,161",1.71,"2,433"
Del Rey Oaks,California,City,Monterey,"1,624",0.48,"3,383"
Delano,California,City,Kern,"53,041",14.3,"3,709"
Desert Hot Springs,California,City,Riverside,"25,938",23.62,"1,098"
Diamond Bar,California,City,Los Angeles,"55,544",14.88,"3,733"
Dinuba,California,City,Tulare,"21,453",6.47,"3,316"
Dixon,California,City,Solano,"18,351",7,"2,622"
Dorris,California,City,Siskiyou,939,0.7,"1,341"
Dos Palos,California,City,Merced,"4,950",1.35,"3,667"
Downey,California,City,Los Angeles,"111,772",12.41,"9,007"
Duarte,California,City,Los Angeles,"21,321",6.69,"3,187"
Dublin,California,City,Alameda,"46,036",14.91,"3,088"
Dunsmuir,California,City,Siskiyou,"1,650",1.7,971
East Palo Alto,California,City,San Mateo,"28,155",2.51,"11,217"
Eastvale,California,City,Riverside,"53,670[10]",13.1,#VALUE!
El Cajon,California,City,San Diego,"99,478",14.43,"6,894"
El Centro,California,City,Imperial,"42,598",11.08,"3,845"
El Cerrito,California,City,Contra Costa,"23,549",3.69,"6,382"
El Monte,California,City,Los Angeles,"113,475",9.56,"11,870"
El Segundo,California,City,Los Angeles,"16,654",5.46,"3,050"
Elk Grove,California,City,Sacramento,"153,015",42.19,"3,627"
Emeryville,California,City,Alameda,"10,080",1.25,"8,064"
Encinitas,California,City,San Diego,"59,518",18.81,"3,164"
Escalon,California,City,San Joaquin,"7,132",2.3,"3,101"
Escondido,California,City,San Diego,"143,911",36.81,"3,910"
Etna,California,City,Siskiyou,737,0.76,970
