name_team,name_tournament,place
Harvard-Westlake School,2019 CIFSS Playoffs Top 10,1
Newport Harbor High School,2019 CIFSS Playoffs Top 10,2
Loyola High School of Los Angeles,2019 CIFSS Playoffs Top 10,4
Oaks Christian School,2019 CIFSS Playoffs Top 10,3
Santa Margarita Catholic High School,2019 CIFSS Playoffs Top 10,5
Mater Dei High School,2019 CIFSS Playoffs Top 10,6
Laguna Beach High School,2019 CIFSS Playoffs Top 10,7
San Clemente High School,2019 CIFSS Playoffs Top 10,8
Foothill High School,2019 CIFSS Playoffs Top 10,9
Mira Costa High School,2019 CIFSS Playoffs Top 10,10
