name,country,abbreviation,population_2017
Alabama,United States,AL,"4,874,747"
Alaska,United States,AK,"739,795"
Arizona,United States,AZ,"7,016,270"
Arkansas,United States,AR,"3,004,279"
California,United States,CA,"39,536,653"
Colorado,United States,CO,"5,607,154"
Connecticut,United States,CT,"3,588,184"
Delaware,United States,DE,"961,939"
Florida,United States,FL,"20,984,400"
Georgia,United States,GA,"10,429,379"
Hawaii,United States,HI,"1,427,538"
Idaho,United States,ID,"1,716,943"
Illinois,United States,IL,"12,802,023"
Indiana,United States,IN,"6,666,818"
Iowa,United States,IA,"3,145,711"
Kansas,United States,KS,"2,913,123"
Kentucky,United States,KY,"4,454,189"
Louisiana,United States,LA,"4,684,333"
Maine,United States,ME,"1,335,907"
Maryland,United States,MD,"6,052,177"
Massachusetts,United States,MA,"6,859,819"
Michigan,United States,MI,"9,962,311"
Minnesota,United States,MN,"5,576,606"
Mississippi,United States,MS,"2,984,100"
Missouri,United States,MO,"6,113,532"
Montana,United States,MT,"1,050,493"
Nebraska,United States,NE,"1,920,076"
Nevada,United States,NV,"2,998,039"
New Hampshire,United States,NH,"1,342,795"
New Jersey,United States,NJ,"9,005,644"
New Mexico,United States,NM,"2,088,070"
New York,United States,NY,"19,849,399"
North Carolina,United States,NC,"10,273,419"
North Dakota,United States,ND,"755,393"
Ohio,United States,OH,"11,658,609"
Oklahoma,United States,OK,"3,930,864"
Oregon,United States,OR,"4,142,776"
Pennsylvania,United States,PA,"12,805,537"
Rhode Island,United States,RI,"1,059,639"
South Carolina,United States,SC,"5,024,369"
South Dakota,United States,SD,"869,666"
Tennessee,United States,TN,"6,715,984"
Texas,United States,TX,"28,304,596"
Utah,United States,UT,"3,101,833"
Vermont,United States,VT,"623,657"
Virginia,United States,VA,"8,470,020"
Washington,United States,WA,"7,405,743"
West Virginia,United States,WV,"1,815,857"
Wisconsin,United States,WI,"5,795,483"
Wyoming,United States,WY,"579,315"
